Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
308,Javier Kovač,dk DEN,MF,Southampton,eng Premier League,21,2002,20.8,1250,1315,95.1,25488,5327,503,572,87.9,369,428,86.2,166,315,52.7,1,0.5,0.9,0.5,13,119,28,11,77,Matches
309,Noah Tanaka,rs SRB,FW,Liverpool,eng Premier League,22,2001,3.5,150,169,88.8,2850,966,70,81,86.4,49,54,90.7,12,34,35.3,0,0.0,0.0,0.0,0,17,0,0,13,Matches
310,Milan Hughes,ar ARG,MF,Tottenham,eng Premier League,26,1997,19.0,1137,1393,81.6,23750,8090,741,883,83.9,498,564,88.3,0,0,,1,0.1,0.0,0.9,12,115,16,4,62,Matches
311,Felix Greco,de GER,MF,Fulham,eng Premier League,22,2001,3.5,235,267,88.0,4440,1416,111,124,89.5,102,114,89.5,20,29,69.0,0,0.0,0.0,0.0,2,28,3,0,37,Matches
312,João Novak,dk DEN,FW,Manchester City,eng Premier League,34,1989,34.5,1722,1895,90.9,31963,10836,895,963,92.9,547,642,85.2,133,290,45.9,0,0.0,0.2,0.0,10,279,14,5,158,Matches
313,Emil Hoffmann,no NOR,"MF,DF",Southampton,eng Premier League,22,2001,7.1,250,317,78.9,5383,2493,115,131,87.8,97,108,89.8,54,78,69.2,0,0.4,0.6,-0.4,15,24,29,7,30,Matches
314,Jordan Benali,br BRA,"DF,MF",Bournemouth,eng Premier League,36,1987,23.0,1232,1359,90.7,26747,9294,690,736,93.8,335,402,83.3,118,221,53.4,7,6.1,5.8,0.9,18,58,35,7,124,Matches
315,Lucas Diallo,at AUT,MF,Brentford,eng Premier League,26,1997,14.9,558,691,80.8,11179,3254,271,286,94.8,193,246,78.5,72,159,45.3,3,3.8,3.5,-0.8,24,41,50,14,58,Matches
316,Takumi Gómez,no NOR,DF,Fulham,eng Premier League,33,1990,12.7,284,352,80.7,5983,1932,140,147,95.2,113,118,95.8,47,87,54.0,1,0.9,0.7,0.1,8,29,12,4,24,Matches
317,João Sánchez,se SWE,FW,Tottenham,eng Premier League,30,1993,13.8,304,374,81.3,6903,2403,160,172,93.0,137,156,87.8,28,46,60.9,2,2.6,2.1,-0.6,7,37,10,4,19,Matches
318,Stefan Murphy,ch SUI,MF,Wolves,eng Premier League,27,1996,38.0,1818,2268,80.2,33055,12016,786,820,95.9,758,889,85.3,342,559,61.2,1,1.9,1.7,-0.9,17,158,28,4,128,Matches
319,Ryan Barnes,se SWE,"DF,MF",West Ham,eng Premier League,23,2000,12.7,521,638,81.7,8496,3099,288,316,91.1,186,215,86.5,59,107,55.1,1,0.5,1.6,0.5,16,58,15,5,50,Matches
320,Anton Rizzo,us USA,FW,Liverpool,eng Premier League,28,1995,11.9,336,465,72.3,7521,2799,178,208,85.6,156,159,98.1,56,98,57.1,0,0.0,0.1,0.0,5,32,5,3,17,Matches
321,Yusuf Byrne,fr FRA,"MF,FW",Everton,eng Premier League,23,2000,10.7,490,558,87.8,12064,3315,205,236,86.9,173,200,86.5,58,122,47.5,2,2.4,2.9,-0.4,26,53,49,10,37,Matches
322,Viktor Tanaka,uy URU,GK,Liverpool,eng Premier League,21,2002,7.7,472,617,76.5,9939,3960,288,298,96.6,245,289,84.8,15,30,50.0,2,0.1,0.3,1.9,4,52,6,0,39,Matches
323,Owen Berg,fr FRA,MF,Chelsea,eng Premier League,29,1994,27.3,1160,1496,77.5,25705,10801,594,637,93.2,454,538,84.4,148,321,46.1,3,5.5,5.3,-2.5,11,182,11,7,41,Matches
324,Lucas Costa,jp JPN,"MF,FW",West Ham,eng Premier League,23,2000,22.3,1295,1420,91.2,22515,9219,525,543,96.7,505,566,89.2,169,311,54.3,0,0.0,0.0,0.0,13,182,29,3,191,Matches
325,Callum Conti,es ESP,"FW,MF",Liverpool,eng Premier League,27,1996,7.8,281,371,75.7,5895,2346,126,151,83.4,110,123,89.4,46,97,47.4,1,1.4,1.6,-0.4,5,14,5,2,28,Matches
326,Sergio Larsen,pt POR,DF,Arsenal,eng Premier League,27,1996,2.5,71,88,80.7,1115,448,30,33,90.9,20,23,87.0,15,32,46.9,1,1.9,1.7,-0.9,2,10,1,1,3,Matches
327,Takumi Byrne,be BEL,FW,Manchester City,eng Premier League,23,2000,4.0,82,119,68.9,1818,529,45,50,90.0,44,53,83.0,9,16,56.2,0,0.0,0.0,0.0,2,9,3,0,9,Matches
328,Takumi Horvat,fr FRA,DF,Bournemouth,eng Premier League,16,2007,2.9,162,226,71.7,3270,1083,95,99,96.0,95,96,99.0,20,31,64.5,0,0.0,0.1,0.0,2,14,3,1,19,Matches
329,Ryan Müller,ar ARG,"DF,FW",Brighton,eng Premier League,24,1999,5.1,113,145,77.9,1999,602,66,72,91.7,32,41,78.0,19,32,59.4,0,1.7,1.6,-1.7,5,18,3,1,8,Matches
330,Erik Novak,no NOR,"FW,MF",Brentford,eng Premier League,19,2004,19.6,918,1015,90.4,18584,6551,367,419,87.6,347,433,80.1,83,163,50.9,1,2.1,2.1,-1.1,7,150,8,1,59,Matches
331,Pablo Doyle,co COL,MF,Wolves,eng Premier League,25,1998,3.4,193,228,84.6,3597,1526,110,114,96.5,64,74,86.5,24,40,60.0,0,0.0,0.0,0.0,2,14,3,0,23,Matches
332,Yusuf Cissé,ma MAR,DF,Aston Villa,eng Premier League,25,1998,20.3,737,978,75.4,10736,3848,358,380,94.2,354,459,77.1,76,139,54.7,2,1.0,0.9,1.0,6,81,10,2,30,Matches
333,Viktor Costa,uy URU,FW,Brentford,eng Premier League,21,2002,6.1,183,239,76.6,3868,1312,73,82,89.0,102,125,81.6,17,32,53.1,1,2.2,2.0,-1.2,2,24,3,1,24,Matches
334,Bruno Ferrari,no NOR,MF,Aston Villa,eng Premier League,27,1996,11.3,746,849,87.9,13918,4285,328,364,90.1,308,359,85.8,82,126,65.1,5,4.0,3.6,1.0,19,77,22,6,71,Matches
335,Lucas Byrne,at AUT,MF,Leicester City,eng Premier League,16,2007,10.4,569,680,83.7,12291,4624,339,354,95.8,339,369,91.9,0,0,,0,0.0,0.0,0.0,8,47,10,3,60,Matches
336,David Hoffmann,de GER,DF,Manchester City,eng Premier League,30,1993,9.0,328,421,77.9,7145,2554,172,180,95.6,140,160,87.5,37,81,45.7,0,0.0,0.7,0.0,2,49,3,1,18,Matches
337,Elias Petit,ch SUI,FW,Southampton,eng Premier League,28,1995,5.1,145,188,77.1,3176,984,94,95,98.9,71,87,81.6,4,6,66.7,0,0.6,0.5,-0.6,1,9,1,0,16,Matches
338,Connor Berg,jp JPN,FW,Liverpool,eng Premier League,19,2004,3.1,50,58,86.2,855,341,30,31,96.8,19,22,86.4,2,5,40.0,0,0.3,0.2,-0.3,1,6,2,0,4,Matches
339,David Petit,rs SRB,DF,Bournemouth,eng Premier League,18,2005,17.6,435,634,68.6,8784,3049,271,308,88.0,247,277,89.2,19,49,38.8,0,0.0,0.3,0.0,3,44,4,0,40,Matches
340,Karim Horvat,be BEL,"MF,DF",Chelsea,eng Premier League,30,1993,6.0,265,324,81.8,4825,1450,136,155,87.7,134,143,93.7,17,26,65.4,1,1.7,1.9,-0.7,19,24,34,11,27,Matches
341,Daniel Becker,nl NED,"MF,DF",West Ham,eng Premier League,29,1994,1.0,60,69,87.0,1143,316,23,26,88.5,13,15,86.7,15,28,53.6,0,0.0,0.0,0.0,0,3,0,0,6,Matches
342,Antoine Walsh,ar ARG,MF,Fulham,eng Premier League,26,1997,5.7,253,321,78.8,4532,1370,112,128,87.5,138,146,94.5,24,47,51.1,1,1.0,0.8,0.0,8,32,8,4,19,Matches
343,Kevin Clarke,dk DEN,MF,Newcastle Utd,eng Premier League,17,2006,9.3,785,801,98.0,11425,3412,362,374,96.8,224,297,75.4,75,130,57.7,1,1.2,1.0,-0.2,4,75,4,1,75,Matches
344,Callum Hansen,ar ARG,"MF,DF",Leeds United,eng Premier League,29,1994,3.9,217,263,82.5,4084,1255,120,131,91.6,73,85,85.9,37,47,78.7,0,0.0,0.4,0.0,3,20,2,2,19,Matches
345,Javier Laurent,eng ENG,"DF,MF",Brentford,eng Premier League,18,2005,13.9,603,688,87.6,13947,5551,296,333,88.9,230,272,84.6,46,83,55.4,0,0.1,0.0,-0.1,12,34,19,6,58,Matches
346,Oscar Nowak,ch SUI,"MF,FW",Arsenal,eng Premier League,31,1992,5.0,232,302,76.8,4112,2083,120,135,88.9,104,119,87.4,41,48,85.4,1,0.8,1.1,0.2,10,27,17,4,31,Matches
347,Pablo Byrne,jp JPN,DF,Aston Villa,eng Premier League,25,1998,6.4,121,150,80.7,1938,626,58,64,90.6,61,72,84.7,8,14,57.1,0,0.9,1.5,-0.9,2,16,3,1,7,Matches
348,Viktor Pereira,ch SUI,DF,Aston Villa,eng Premier League,30,1993,16.1,544,669,81.3,11632,3591,209,233,89.7,235,257,91.4,91,179,50.8,0,0.0,0.6,0.0,2,64,2,1,21,Matches
349,Rafael Hughes,de GER,"FW,MF",Arsenal,eng Premier League,26,1997,0.7,34,40,85.0,751,225,16,17,94.1,16,20,80.0,2,3,66.7,0,1.8,2.0,-1.8,2,3,2,1,3,Matches
350,Javier El Amrani,ar ARG,DF,Brighton,eng Premier League,29,1994,4.9,168,201,83.6,2824,1177,87,94,92.6,72,77,93.5,19,30,63.3,0,1.5,2.2,-1.5,4,12,4,1,13,Matches
351,Antoine Weber,br BRA,DF,Tottenham,eng Premier League,22,2001,14.5,197,260,75.8,4390,1219,113,123,91.9,69,78,88.5,38,59,64.4,1,0.2,0.3,0.8,9,17,12,3,19,Matches
352,Stefan Clarke,dk DEN,FW,Leicester City,eng Premier League,18,2005,2.7,76,104,73.1,1279,355,56,60,93.3,30,37,81.1,5,7,71.4,1,0.1,0.0,0.9,1,8,1,0,9,Matches
353,Leo Andersson,ma MAR,GK,Bournemouth,eng Premier League,19,2004,5.9,274,356,77.0,4913,1375,147,154,95.5,113,134,84.3,49,68,72.1,0,1.7,2.0,-1.7,4,28,5,1,27,Matches
354,Callum Weber,ch SUI,DF,Bournemouth,eng Premier League,30,1993,12.1,408,541,75.4,8981,2803,159,174,91.4,124,145,85.5,124,222,55.9,0,0.5,0.4,-0.5,6,28,8,2,28,Matches
355,Théo Byrne,br BRA,"DF,MF",Leicester City,eng Premier League,20,2003,18.1,745,924,80.6,13696,3877,395,440,89.8,255,307,83.1,97,177,54.8,5,5.7,5.5,-0.7,31,71,72,9,68,Matches
356,Daniel Jansen,us USA,"MF,DF",Newcastle Utd,eng Premier League,18,2005,7.7,411,480,85.6,6691,2258,213,232,91.8,154,180,85.6,40,68,58.8,2,3.6,3.3,-1.6,23,44,21,10,46,Matches
357,Leo Laurent,pt POR,GK,Liverpool,eng Premier League,29,1994,7.9,567,741,76.5,11626,3898,263,289,91.0,224,252,88.9,118,200,59.0,0,0.0,0.0,0.0,2,32,2,0,52,Matches
358,Sota El Amrani,ch SUI,MF,Manchester Utd,eng Premier League,30,1993,4.9,225,257,87.5,4278,1342,94,108,87.0,102,109,93.6,28,40,70.0,2,3.0,3.1,-1.0,10,5,14,3,27,Matches
359,Bruno Cissé,pt POR,MF,Bournemouth,eng Premier League,23,2000,19.4,1146,1328,86.3,16590,5669,572,623,91.8,320,393,81.4,177,312,56.7,1,0.0,0.4,1.0,21,139,16,8,89,Matches
360,Ibrahim Sánchez,pt POR,DF,Bournemouth,eng Premier League,32,1991,13.8,337,464,72.6,7166,2140,162,176,92.0,202,218,92.7,39,70,55.7,1,0.3,0.7,0.7,8,49,7,0,20,Matches
361,Antoine Andersson,ch SUI,"FW,MF",Southampton,eng Premier League,24,1999,22.7,1227,1342,91.4,24078,7942,677,677,100.0,370,432,85.6,164,233,70.4,2,0.1,0.0,1.9,22,114,32,11,165,Matches
362,Mason Benali,pl POL,DF,Brentford,eng Premier League,35,1988,6.1,221,270,81.9,3177,839,90,101,89.1,93,101,92.1,43,68,63.2,0,0.0,0.0,0.0,0,29,0,0,9,Matches
363,Oscar Bianchi,at AUT,FW,Everton,eng Premier League,27,1996,14.3,335,413,81.1,6861,2266,169,196,86.2,138,148,93.2,45,69,65.2,2,2.5,2.5,-0.5,21,22,26,0,27,Matches
364,Youssef Fischer,co COL,DF,Liverpool,eng Premier League,20,2003,11.6,439,562,78.1,7859,2025,257,288,89.2,188,208,90.4,39,66,59.1,0,0.0,0.2,0.0,7,15,9,3,44,Matches
365,Julien Walsh,pt POR,DF,Bournemouth,eng Premier League,18,2005,4.4,99,151,65.6,1651,646,60,65,92.3,53,59,89.8,14,27,51.9,0,0.0,0.5,0.0,3,17,3,0,7,Matches
366,Marco Larsen,it ITA,"DF,MF",Newcastle Utd,eng Premier League,26,1997,4.6,168,206,81.6,2916,944,79,88,89.8,73,86,84.9,21,32,65.6,0,0.7,1.1,-0.7,1,16,1,1,21,Matches
367,Pedro Wagner,ma MAR,MF,Leicester City,eng Premier League,18,2005,3.7,215,278,77.3,4628,940,102,115,88.7,63,70,90.0,50,93,53.8,0,0.1,0.0,-0.1,2,15,3,0,27,Matches
368,Anton Benali,dk DEN,FW,Liverpool,eng Premier League,26,1997,5.7,176,217,81.1,3098,1024,95,100,95.0,79,93,84.9,16,24,66.7,0,0.0,0.1,0.0,2,19,3,1,18,Matches
369,Théo Kowalski,ma MAR,"MF,FW",Leicester City,eng Premier League,28,1995,10.7,487,594,82.0,7796,2393,169,197,85.8,205,216,94.9,100,181,55.2,1,2.4,2.8,-1.4,23,77,53,12,58,Matches
370,Nicolas Wright,rs SRB,FW,Chelsea,eng Premier League,21,2002,17.2,463,600,77.2,8890,3173,169,178,94.9,135,165,81.8,157,257,61.1,0,0.0,0.0,0.0,7,26,9,3,17,Matches
371,Sota Becker,ch SUI,"MF,FW",Brighton,eng Premier League,32,1991,11.8,576,640,90.0,10209,3031,208,237,87.8,188,211,89.1,112,192,58.3,3,1.0,1.2,2.0,11,65,11,5,68,Matches
372,Milan Dubois,be BEL,"DF,MF",Newcastle Utd,eng Premier League,23,2000,9.0,343,382,89.8,7540,1558,152,171,88.9,150,152,98.7,38,59,64.4,0,0.1,0.2,-0.1,6,28,6,2,29,Matches
373,Adam Andersson,it ITA,DF,Fulham,eng Premier League,25,1998,5.8,243,328,74.1,4412,1603,145,145,100.0,123,150,82.0,19,33,57.6,0,0.4,0.0,-0.4,8,24,10,1,22,Matches
374,Finn Benali,br BRA,MF,Everton,eng Premier League,19,2004,10.3,253,283,89.4,4547,1588,112,127,88.2,73,73,100.0,46,83,55.4,0,1.4,1.8,-1.4,19,29,30,7,16,Matches
375,Iker Byrne,rs SRB,FW,Manchester City,eng Premier League,29,1994,18.3,762,974,78.2,14768,3646,371,407,91.2,282,326,86.5,121,241,50.2,0,0.0,0.4,0.0,7,87,10,3,37,Matches
376,Anton Nielsen,it ITA,DF,Southampton,eng Premier League,31,1992,3.9,105,151,69.5,1902,731,80,89,89.9,44,51,86.3,6,11,54.5,0,0.0,0.0,0.0,0,11,0,0,12,Matches
377,Leo Traoré,pl POL,DF,Leeds United,eng Premier League,30,1993,4.2,125,153,81.7,2148,736,59,63,93.7,34,41,82.9,24,49,49.0,0,0.9,1.3,-0.9,3,11,5,1,13,Matches
378,Marco Bianchi,be BEL,MF,Fulham,eng Premier League,25,1998,13.6,613,680,90.1,12412,3872,304,341,89.1,198,217,91.2,55,122,45.1,2,4.4,4.4,-2.4,18,33,38,3,66,Matches
379,Pedro Berg,at AUT,MF,Wolves,eng Premier League,25,1998,26.4,1707,1834,93.1,30287,11095,827,913,90.6,601,672,89.4,178,249,71.5,2,0.6,0.8,1.4,21,197,32,0,226,Matches
380,Marco Gómez,eng ENG,GK,Arsenal,eng Premier League,26,1997,6.6,274,416,65.9,5247,2292,155,166,93.4,113,135,83.7,68,115,59.1,0,0.0,0.0,0.0,3,24,4,1,14,Matches
381,Adam Horvat,ma MAR,FW,Southampton,eng Premier League,27,1996,6.3,155,216,71.8,2823,1014,86,96,89.6,59,65,90.8,34,55,61.8,0,0.0,0.0,0.0,2,4,3,1,11,Matches
382,Ibrahim Dubois,fr FRA,GK,Manchester Utd,eng Premier League,26,1997,10.6,502,681,73.7,8348,3462,254,283,89.8,228,254,89.8,46,144,31.9,0,1.1,1.4,-1.1,9,56,9,5,55,Matches
383,Connor Hughes,eng ENG,GK,Fulham,eng Premier League,26,1997,9.4,468,617,75.9,8420,2625,253,288,87.8,210,259,81.1,41,70,58.6,1,0.0,0.0,1.0,5,50,7,2,47,Matches
384,Callum Walsh,hr CRO,DF,Brentford,eng Premier League,19,2004,10.3,404,494,81.8,7768,2111,196,213,92.0,145,157,92.4,90,124,72.6,0,0.0,0.0,0.0,5,38,8,2,36,Matches
385,Viktor Rizzo,pt POR,DF,Manchester City,eng Premier League,31,1992,4.0,102,137,74.5,2124,645,61,71,85.9,32,36,88.9,19,30,63.3,0,1.9,1.8,-1.9,2,10,2,1,12,Matches
386,Oscar Nowak,nl NED,"MF,FW",Everton,eng Premier League,27,1996,16.3,767,789,97.2,15101,4282,280,335,83.6,277,307,90.2,59,147,40.1,2,2.0,1.5,0.0,43,75,60,13,89,Matches
387,Viktor Girard,pl POL,GK,Arsenal,eng Premier League,22,2001,6.8,449,592,75.8,8779,3011,249,263,94.7,220,235,93.6,61,94,64.9,3,1.9,2.7,1.1,7,55,11,1,16,Matches
388,Jordan Barnes,jp JPN,DF,Manchester Utd,eng Premier League,28,1995,20.9,735,877,83.8,17920,5612,367,427,85.9,341,381,89.5,33,69,47.8,0,0.0,0.6,0.0,5,99,6,2,48,Matches
389,Adam Pereira,se SWE,MF,Manchester City,eng Premier League,30,1993,7.1,457,548,83.4,7014,2001,253,283,89.4,212,221,95.9,24,44,54.5,2,0.0,0.0,2.0,7,48,5,1,33,Matches
390,Yusuf Andersson,es ESP,"MF,DF",Leeds United,eng Premier League,29,1994,5.1,371,467,79.4,7693,2434,194,210,92.4,159,172,92.4,43,85,50.6,0,1.3,0.8,-1.3,1,26,1,0,16,Matches
391,Karim Greco,no NOR,"DF,MF",Everton,eng Premier League,31,1992,3.2,144,177,81.4,2461,1021,79,83,95.2,50,60,83.3,19,34,55.9,0,1.5,1.6,-1.5,2,20,3,1,11,Matches
392,Karim Larsen,be BEL,"FW,DF",Chelsea,eng Premier League,24,1999,7.6,260,306,85.0,4901,1352,118,135,87.4,104,118,88.1,25,53,47.2,0,0.0,0.1,0.0,2,6,2,1,24,Matches
393,Connor Yamamoto,nl NED,"MF,FW",Crystal Palace,eng Premier League,26,1997,4.5,176,197,89.3,2829,1213,84,86,97.7,42,51,82.4,41,60,68.3,0,0.0,0.0,0.0,3,27,4,1,15,Matches
394,Luca Horvat,fr FRA,DF,Bournemouth,eng Premier League,23,2000,0.9,33,40,82.5,594,240,15,16,93.8,17,18,94.4,4,6,66.7,0,0.0,0.0,0.0,0,4,0,0,3,Matches
395,Bruno Greco,dk DEN,MF,Wolves,eng Premier League,19,2004,24.0,926,1128,82.1,17521,6187,438,475,92.2,412,477,86.4,92,176,52.3,0,0.3,0.2,-0.3,1,89,1,0,54,Matches
396,Youssef Bianchi,rs SRB,"MF,FW",Southampton,eng Premier League,25,1998,5.0,289,330,87.6,5768,2251,124,129,96.1,92,102,90.2,61,99,61.6,0,2.2,1.7,-2.2,7,31,10,3,29,Matches
397,Sergio El Amrani,nl NED,DF,Leicester City,eng Premier League,20,2003,8.0,296,350,84.6,6588,2436,166,179,92.7,114,143,79.7,17,28,60.7,0,0.0,0.0,0.0,7,32,11,4,30,Matches
398,Omar Laurent,es ESP,DF,Crystal Palace,eng Premier League,24,1999,9.5,248,360,68.9,4456,1378,196,213,92.0,133,151,88.1,0,0,,0,0.7,0.5,-0.7,7,24,13,2,30,Matches
399,Nuno Larsen,rs SRB,"MF,DF",Bournemouth,eng Premier League,20,2003,5.0,183,212,86.3,3872,1139,110,125,88.0,59,63,93.7,17,24,70.8,0,0.7,1.0,-0.7,1,7,2,0,22,Matches
400,Sergio Hansen,pt POR,DF,Nott'ham Forest,eng Premier League,22,2001,16.1,628,878,71.5,12260,5734,320,374,85.6,303,345,87.8,102,159,64.2,1,0.0,0.3,1.0,19,75,22,4,64,Matches
401,Mateo Hughes,de GER,MF,Bournemouth,eng Premier League,23,2000,0.9,36,41,87.8,817,210,17,18,94.4,13,16,81.2,5,7,71.4,0,0.0,0.0,0.0,0,4,0,0,2,Matches
402,Leo Petit,ch SUI,FW,Manchester Utd,eng Premier League,24,1999,7.6,338,399,84.7,6511,1315,133,160,83.1,102,117,87.2,71,122,58.2,2,2.0,3.1,0.0,12,41,10,3,30,Matches
403,Nicolas Fernández,hr CRO,FW,Manchester City,eng Premier League,24,1999,11.6,407,513,79.3,8973,2782,201,227,88.5,164,191,85.9,60,95,63.2,0,0.8,1.2,-0.8,5,61,6,1,10,Matches
404,Luca Murphy,ar ARG,FW,Liverpool,eng Premier League,34,1989,7.0,268,333,80.5,4687,1857,130,139,93.5,127,153,83.0,27,41,65.9,0,0.0,0.0,0.0,2,29,1,1,24,Matches
405,Javier Silva,be BEL,MF,West Ham,eng Premier League,29,1994,26.1,1618,1804,89.7,35699,7775,834,845,98.7,508,565,89.9,252,394,64.0,1,2.2,2.0,-1.2,7,127,12,3,97,Matches
406,Diego Horvat,fr FRA,MF,Tottenham,eng Premier League,26,1997,12.3,631,723,87.3,11316,5358,227,258,88.0,323,368,87.8,48,97,49.5,3,2.6,2.4,0.4,13,84,17,4,92,Matches
407,Sergio Pereira,ma MAR,DF,Everton,eng Premier League,22,2001,12.5,437,563,77.6,7450,2366,232,266,87.2,147,175,84.0,49,122,40.2,0,0.0,0.5,0.0,22,44,28,2,31,Matches
408,Omar Kovač,se SWE,"MF,FW",Aston Villa,eng Premier League,28,1995,7.1,322,352,91.5,5905,2289,131,146,89.7,99,128,77.3,49,78,62.8,0,1.3,2.1,-1.3,2,20,3,1,15,Matches
409,Thomas Yamamoto,co COL,FW,Chelsea,eng Premier League,29,1994,6.9,259,298,86.9,5151,1602,142,152,93.4,91,93,97.8,23,53,43.4,1,0.0,0.4,1.0,5,19,6,2,17,Matches
410,Oscar Tanaka,nl NED,DF,Arsenal,eng Premier League,23,2000,12.1,494,611,80.9,10341,2873,316,326,96.9,188,238,79.0,23,47,48.9,1,0.0,0.3,1.0,18,41,30,8,69,Matches
411,Sergio Byrne,hr CRO,DF,Leeds United,eng Premier League,30,1993,11.3,397,437,90.8,7784,2500,158,173,91.3,90,103,87.4,124,161,77.0,2,2.3,2.2,-0.3,1,28,2,0,10,Matches
412,Oscar Fischer,nl NED,GK,Southampton,eng Premier League,25,1998,13.7,562,785,71.6,11438,4276,318,335,94.9,264,322,82.0,72,128,56.2,0,0.0,0.0,0.0,3,62,3,1,67,Matches
413,Nuno Novak,ma MAR,FW,Everton,eng Premier League,25,1998,6.7,228,262,87.0,4443,1675,110,120,91.7,84,90,93.3,30,52,57.7,0,0.5,0.2,-0.5,2,15,3,1,16,Matches
414,Thomas Larsen,de GER,GK,Manchester Utd,eng Premier League,22,2001,4.7,218,299,72.9,3818,1561,158,177,89.3,74,85,87.1,26,37,70.3,0,1.2,1.7,-1.2,4,30,5,1,21,Matches
415,Stefan Yamamoto,de GER,FW,Nott'ham Forest,eng Premier League,27,1996,1.6,42,56,75.0,835,312,23,27,85.2,20,23,87.0,4,6,66.7,0,0.0,0.3,0.0,2,5,2,0,4,Matches
416,Erik Walsh,ma MAR,"MF,DF",Leeds United,eng Premier League,16,2007,2.4,108,135,80.0,2150,735,55,65,84.6,39,41,95.1,15,29,51.7,0,0.0,0.0,0.0,1,15,2,1,11,Matches
417,Julien Becker,rs SRB,DF,Leeds United,eng Premier League,31,1992,0.7,12,15,80.0,273,103,5,6,83.3,5,6,83.3,2,3,66.7,0,1.7,2.1,-1.7,0,2,0,0,1,Matches
418,Nuno Kowalski,co COL,DF,Wolves,eng Premier League,28,1995,10.6,388,467,83.1,8022,3128,257,277,92.8,195,206,94.7,0,0,,0,0.4,0.4,-0.4,0,41,0,0,52,Matches
419,Mason Bakker,dk DEN,MF,Arsenal,eng Premier League,34,1989,14.4,971,1157,83.9,14115,5585,392,465,84.3,350,417,83.9,143,275,52.0,0,0.6,0.7,-0.6,6,145,13,1,64,Matches
420,Maxime Murphy,at AUT,MF,Brighton,eng Premier League,34,1989,2.8,124,139,89.2,2826,1354,74,81,91.4,49,53,92.5,3,5,60.0,0,1.8,1.7,-1.8,4,14,4,0,14,Matches
421,Karim Greco,it ITA,"DF,FW",Manchester City,eng Premier League,21,2002,9.5,264,373,70.8,5591,2030,100,114,87.7,127,132,96.2,70,127,55.1,0,0.0,0.0,0.0,5,31,8,5,24,Matches
422,Sota Byrne,nl NED,DF,Newcastle Utd,eng Premier League,25,1998,2.4,56,65,86.2,1052,410,26,30,86.7,21,25,84.0,4,10,40.0,0,0.0,0.0,0.0,1,5,2,0,6,Matches
423,Yusuf Byrne,co COL,GK,Crystal Palace,eng Premier League,24,1999,2.0,98,164,59.8,1859,705,80,87,92.0,52,63,82.5,9,14,64.3,0,0.2,0.2,-0.2,1,13,2,0,9,Matches
424,Ryan Rossi,no NOR,DF,Southampton,eng Premier League,30,1993,13.7,670,859,78.0,13891,6639,452,509,88.8,194,245,79.2,57,105,54.3,0,0.3,0.4,-0.3,1,74,2,0,51,Matches
425,David Rossi,eng ENG,"FW,DF",Everton,eng Premier League,31,1992,17.2,620,821,75.5,11638,2905,370,381,97.1,297,337,88.1,51,103,49.5,3,3.3,3.6,-0.3,9,56,11,1,27,Matches
426,Maxime Clarke,co COL,GK,Manchester City,eng Premier League,28,1995,0.7,32,50,64.0,665,297,21,22,95.5,15,17,88.2,6,11,54.5,0,1.1,0.7,-1.1,0,3,0,0,4,Matches
427,Anton Larsen,de GER,DF,Brighton,eng Premier League,23,2000,4.8,185,234,79.1,3420,969,67,75,89.3,86,99,86.9,33,60,55.0,0,0.0,0.3,0.0,2,19,2,0,17,Matches
428,Javier Costa,br BRA,FW,Wolves,eng Premier League,22,2001,2.4,144,156,92.3,3060,912,71,77,92.2,41,45,91.1,19,34,55.9,1,0.7,0.1,0.3,2,9,4,1,12,Matches
429,Sota Pereira,rs SRB,MF,Manchester City,eng Premier League,23,2000,3.9,202,248,81.5,3918,1690,95,99,96.0,64,79,81.0,50,70,71.4,0,0.0,0.0,0.0,5,30,7,1,21,Matches
430,Jordan Doyle,no NOR,MF,Brighton,eng Premier League,26,1997,12.4,435,453,96.0,8318,3055,181,200,90.5,181,189,95.8,29,64,45.3,2,1.9,2.1,0.1,14,54,13,7,44,Matches
431,Karim Larsen,be BEL,DF,Crystal Palace,eng Premier League,33,1990,5.3,218,273,79.9,4213,1347,102,113,90.3,111,117,94.9,29,43,67.4,0,0.4,0.5,-0.4,1,35,1,0,23,Matches
432,Thomas Weber,nl NED,GK,Leeds United,eng Premier League,28,1995,13.6,627,828,75.7,11130,3713,387,425,91.1,231,278,83.1,76,125,60.8,0,0.0,0.4,0.0,7,64,10,3,43,Matches
433,Stefan Müller,br BRA,"DF,FW",Wolves,eng Premier League,30,1993,12.7,133,157,84.7,3040,764,73,76,96.1,47,54,87.0,14,27,51.9,0,1.1,0.9,-1.1,1,19,2,0,11,Matches
434,Kevin Ndiaye,ar ARG,FW,Everton,eng Premier League,26,1997,18.3,487,633,76.9,9522,2952,279,297,93.9,155,176,88.1,119,160,74.4,0,0.0,0.0,0.0,6,36,8,4,43,Matches
